,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
126,140209499,06:53.2,1,2232900,200,06:53.8,0.665324579,100,2235400,2233400,2235200,2233400,2000,1800,1693.914945,2537
127,140870071,08:00.0,-1,2236900,200,08:03.0,2.996218562,100,2236000,2234600,2236200,2234700,1400,1500,1701.099128,2535
128,141047722,08:22.1,1,2234800,200,08:24.6,2.472350985,100,2237100,2235400,2237100,2235400,1700,1700,1754.096975,2488
129,141305297,09:07.8,1,2234900,200,09:07.8,0.000462318,100,2237700,2235300,2237700,2235300,2400,2400,1718.646762,2469
130,142026238,10:37.2,1,2235900,200,10:37.2,0.002176587,100,2238300,2236300,2238300,2236300,2000,2000,1665.65551,2388
131,142132527,10:53.0,1,2236600,200,10:53.0,0.006555666,100,2238500,2236700,2238500,2236700,1800,1800,1629.495059,2392
132,142132682,10:53.0,1,2236600,200,10:53.0,0.004546688,100,2238500,2236700,2238500,2236700,1800,1800,1629.495059,2395
133,142132856,10:53.0,1,2236600,200,10:53.0,0.005615249,100,2238500,2236700,2238500,2236700,1800,1800,1629.495059,2400
134,142162254,10:53.9,1,2236800,200,10:54.5,0.615771171,100,2238600,2236900,2238600,2237200,1700,1400,1624.483475,2413
135,142436165,11:29.6,1,2236500,200,11:29.6,0.003344202,100,2238800,2237200,2238800,2237200,1600,1600,1636.293236,2416
136,143000931,13:06.3,1,2236200,200,13:06.3,0.001870957,100,2238300,2236500,2238300,2236500,1800,1800,1663.946044,2318
137,143555794,14:19.0,1,2235300,200,14:19.0,0.017553779,100,2237000,2236100,2237000,2236100,900,900,1566.506088,2326
138,144243880,15:26.2,1,2233700,200,15:26.2,0.001149218,100,2236000,2234600,2236000,2234600,1400,1400,1471.699758,2457
139,146806572,20:21.4,1,2235300,200,20:21.4,0.006554544,100,2237400,2236100,2237400,2236100,1300,1300,1501.718563,2505
140,148588132,22:53.3,1,2233500,100,22:53.4,0.132207033,10,2235700,2234100,2235100,2233500,1600,1600,1370.460677,2477
141,150835780,25:55.3,1,2224000,200,25:55.3,0.006183256,100,2227600,2224900,2227600,2224900,2700,2700,4153.70092,2722
142,152627776,27:37.5,-1,2223100,200,27:37.5,0.000475081,100,2222300,2221200,2222300,2221200,1100,1100,5146.296259,2838
143,153507963,29:02.3,1,2217900,200,29:02.3,0.004051646,100,2219400,2218200,2220300,2218200,1200,2100,5428.433205,2912
144,154581774,29:48.4,1,2218300,200,29:49.1,0.705060498,100,2220800,2218700,2220800,2218700,2100,2100,5502.715192,2960
145,154757877,30:00.4,1,2219400,200,30:00.4,0.058848082,100,2221600,2219600,2221600,2219600,2000,2000,5563.02959,2995
146,154777675,30:01.4,1,2219700,200,30:01.8,0.472143869,100,2221900,2219800,2221900,2219800,2100,2100,5581.276527,3027
147,155122642,30:25.9,1,2219700,200,30:25.9,0.009184182,100,2221800,2220700,2221800,2220700,1100,1100,5596.190354,3097
148,156277434,31:41.2,1,2221100,200,31:41.2,0.007449825,100,2223800,2222100,2223800,2222100,1700,1700,5526.559751,3113
149,156450763,32:01.4,1,2223900,200,32:01.4,0.000659326,100,2226000,2225000,2226000,2225000,1000,1000,5231.395272,3145
150,156665922,32:29.4,1,2223600,200,32:30.2,0.853338012,100,2225500,2225000,2225500,2225000,500,500,5073.822767,3165
151,161396147,41:10.5,1,2222400,200,41:10.5,0.00282821,100,2225400,2223700,2225400,2223700,1700,1700,2008.049282,2765
152,161461669,41:15.5,1,2223500,4,41:15.6,0.098850595,1,2225300,2223500,2225300,2223500,1800,1800,2008.049282,2781
153,167307541,51:32.4,1,2222500,200,51:33.4,1.003125379,100,2224600,2222600,2224600,2222600,2000,2000,991.2676423,2726
154,168296862,53:58.5,1,2226000,200,54:10.5,12.02384134,100,2228200,2226200,2228200,2226200,2000,2000,1188.303511,2777
155,173621271,06:37.0,1,2225500,600,12:51.7,374.7445579,200,2227500,2226200,2226900,2226000,1300,900,730.197477,2091
